구분,이미지링크,비고
메인보드판,https://steamusercontent-a.akamaihd.net/ugc/10758507460286351143/217C6D026D7A234880280031D2AB1FB628159C0A/,
중앙 테두리,https://steamusercontent-a.akamaihd.net/ugc/44573776976171558/ECFE22414BBFA1AEA40BBAA144764970B287886B/,
태양계 1번,https://steamusercontent-a.akamaihd.net/ugc/44573776976190891/84552BDC8D1EFE1560C9166B08DF51627A7CA0A4/,
태양계 2번,https://steamusercontent-a.akamaihd.net/ugc/44573776976198358/73D540401C8684DE6B7E0FF1859FC87A765E38EE/,
태양계 3번,https://steamusercontent-a.akamaihd.net/ugc/44573776976200261/CB4E26AED01CB89883AC6B52FFB079ECAB3F71F0/,
개인보드판,https://steamusercontent-a.akamaihd.net/ugc/44575044588596358/74943C0459A01837C88F55DE5C3F331817BB26D6/,
선마커,https://steamusercontent-a.akamaihd.net/ugc/11922044724187866/0F9C6F1F04ADC7C0A536A64D8576D98561A4E119/,
패스마커,https://steamusercontent-a.akamaihd.net/ugc/11922044724184366/8F8335452732DCBEF4E465D0A5A2269692AACD31/,
목표1,https://steamusercontent-a.akamaihd.net/ugc/44574410601404811/FED134D7666BEE6A37268DCE2C4FF8F47EC2BED1/,
목표2,https://steamusercontent-a.akamaihd.net/ugc/44574410601409085/F25F718FB353451C0E8E4E8D7B94B9F2B6E9629F/,
목표3,https://steamusercontent-a.akamaihd.net/ugc/44574410601409517/E3C584CC4CC6A4289C82D9E4D7AAA6F5594F026C/,
카드덱1,https://steamusercontent-a.akamaihd.net/ugc/2918016258649837/AD031D1FB5D442B64635646318A5A67D9BD1E3F5/,
카드덱2,https://steamusercontent-a.akamaihd.net/ugc/2918016258620792/F8C6D09C8B4613D622BD2D964A010672B4F0910F/,
카드3,https://steamusercontent-a.akamaihd.net/ugc/2918016258650094/AF95B3A0E263C973605653DF7BB9EF00D57E0111/,
